,,,,,,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchregu,tchcont,tchpart,,,,,,,
266,C.R.C. NO. 10,24091501018,MAHATMA GANDHI PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,7,8,2,11,6,7,6,21,8,17,6,12,4,13,9,0,0,0,0,0,0,0,0,1,7,8,4,4,8,0,0,,,,,,,
267,C.R.C. NO. 10,24091501021,NEW ERA ENGLISH SCHOOL,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,72,59,69,67,68,57,52,43,43,32,58,32,54,30,58,38,49,37,61,25,18,22,26,21,1,6,7,4,3,2,5,0,,,,,,,
268,C.R.C. NO. 10,24091501022,MATRU MANDIR ENG. MED. HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,18,58,8,72,10,87,14,6,7,13,0,0,13,0,0,,,,,,,
269,C.R.C. NO. 10,24091501023,SHRI K J KOTECHA GIRLS HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,130,0,138,0,102,8,7,15,0,0,15,0,0,,,,,,,
270,C.R.C. NO. 10,24091501024,SHRI SAURASHTRA HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,118,0,121,0,88,0,9,3,12,0,0,12,0,0,,,,,,,
271,C.R.C. NO. 10,24091501025,SHREE P V MODI HIGH SCHOOL (ENG. MED.),Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,47,133,74,0,0,0,0,2,7,9,0,0,0,9,0,,,,,,,
272,C.R.C. NO. 10,24091501026,SHREE P V MODI HIGH SCHOOL (GUJ. MED.),Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,82,259,103,0,0,0,0,5,12,17,0,0,0,17,0,,,,,,,
273,C.R.C. NO. 10,24091501027,SMT.J P MODI  HIGH SCHOOL (GUJ. MED.),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,49,47,33,4,6,10,0,0,0,10,0,,,,,,,
274,C.R.C. NO. 10,24091501028,P & B HIGHER SECONDARY SCHOOL,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,17,15,26,15,23,14,24,14,36,24,41,22,60,17,65,34,77,13,108,32,79,23,103,41,6,3,9,3,3,9,0,0,,,,,,,
275,C.R.C. NO. 10,24091501029,NIRMALA CONVENT HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,149,0,0,0,0,0,9,9,0,0,9,0,0,,,,,,,
276,C.R.C. NO. 10,24091501030,SHRI MG&SG BARDANWALA KANYAVIDYALAY,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,311,0,323,0,282,5,22,27,0,0,27,0,0,,,,,,,
277,C.R.C. NO. 10,24091501031,SHRI D. P. DAVE SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,12,1,1,4,5,0,0,0,5,0,,,,,,,
278,C.R.C. NO. 10,24091501032,KRISHNA H.S. SCHOOL (PRIMARY SEC.),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,14,6,10,9,8,6,9,5,14,5,16,3,12,10,20,9,0,0,0,0,0,0,0,0,0,6,6,3,3,6,0,0,,,,,,,
279,C.R.C. NO. 10,24091501033,KRISHNA H.S. SCHOOL (PRIMARY SEC. GUJ.),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,2,3,9,1,4,4,16,3,13,2,13,5,20,7,17,5,0,0,0,0,0,0,0,0,0,8,8,5,3,8,0,0,,,,,,,
280,C.R.C. NO. 10,24091501036,KRISHNA H.S. SCHOOL (GUJ MED),Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,45,6,101,41,78,27,8,2,10,0,0,10,0,0,,,,,,,
281,C.R.C. NO. 10,24091501037,KRISHNA H.S. SCHOOL (ENG MED),Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,22,4,15,9,29,2,7,1,8,0,0,8,0,0,,,,,,,
282,C.R.C. NO. 10,24091501038,SARJAN SCIENCE SCHOOL - GUJ MED,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,229,0,2,5,7,0,0,6,1,0,,,,,,,
283,C.R.C. NO. 10,24091501041,THE SCHOOL OF SCIENCE (GUJ. MED.),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,88,133,95,13,4,17,0,0,8,9,0,,,,,,,
284,C.R.C. NO. 10,24091501042,THE SCHOOL OF SCIENCE (ENG. MED.),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,20,15,13,4,17,0,0,8,9,0,,,,,,,
285,C.R.C. NO. 10,24091501043,SHRI AMRUT HIGHER SEC. SCHOOL (GUJ MED),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,56,26,54,7,6,13,0,0,4,9,0,,,,,,,
286,C.R.C. NO. 10,24091501044,SHRI AMRUT HIGHER SEC. SCHOOL (ENG MED),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,39,16,7,6,13,0,0,4,9,0,,,,,,,
287,C.R.C. NO. 10,24091501045,SMT. S K PATHAK VIDYAMANDIR SECONDARY,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,47,151,52,19,4,38,15,10,7,17,0,0,17,0,0,,,,,,,
288,C.R.C. NO. 10,24091501046,NEW ERA HIGH SCHOOL (GUJ MED),Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,36,31,30,32,18,0,0,3,4,7,0,0,0,7,0,,,,,,,
289,C.R.C. NO. 10,24091501047,NEW ERA ENGLISH SCHOOL (SEC AND H.S. ENG MED),Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,27,61,25,24,22,26,20,3,3,6,0,0,6,0,0,,,,,,,
290,C.R.C. NO. 10,24091501048,PRINCE HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,19,15,0,0,0,0,1,2,3,0,0,3,0,0,,,,,,,
291,C.R.C. NO. 10,24091501049,QUEEN'S HIGHER SECONDARY SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,17,15,1,2,3,0,0,0,3,0,,,,,,,
292,C.R.C. NO. 10,24091501050,SHRI SAURASHTRA VIDHYAPITH HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,37,92,54,0,0,0,0,3,4,7,0,0,1,6,0,,,,,,,
293,C.R.C. NO. 10,24091501051,SMT C. G. BHARAD VIDHYA MANDIR (H. S.),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,84,187,88,8,5,13,0,0,7,6,0,,,,,,,
294,C.R.C. NO. 10,24091501053,ST. SAI HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,28,31,31,0,0,0,0,0,2,2,0,0,2,0,0,,,,,,,
295,C.R.C. NO. 10,24091501054,ST. SAI HIGHER SECONDARY SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,11,11,0,4,4,0,0,0,4,0,,,,,,,
296,C.R.C. NO. 10,24091501055,SMT. K. R. MODI HIGH SCHOOL (ENG MED),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,28,30,25,3,3,6,0,0,0,6,0,,,,,,,
297,C.R.C. NO. 10,24091501056,UTKARSH SCHOOL OF EXCELLENCE,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,42,50,52,3,3,6,0,0,0,6,0,,,,,,,
298,C.R.C. NO. 10,24091501057,SHRI H S PARIKH MEMORIEL BEST HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,10,4,0,0,0,0,5,1,6,0,0,0,6,0,,,,,,,
299,C.R.C. NO. 10,24091501058,MARUTI VIDHYALAY (SEC AND H. S.),Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,55,0,143,0,107,12,10,22,0,0,22,0,0,,,,,,,
300,C.R.C. NO. 10,24091501060,NIRMALA CONVENT SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,96,0,4,4,0,0,4,0,0,,,,,,,
301,C.R.C. NO. 10,24091501061,NIRMALA CONVENT SCHOOL(CBSE SECONDARY),Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,0,240,0,240,0,241,0,242,0,241,0,240,0,238,0,227,0,166,0,87,0,0,0,0,3,51,54,30,17,42,12,0,,,,,,,
302,C.R.C. NO. 10,24091501062,M.V. DHULASHIA  & JHC TRUST SCHOOLS,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,6,4,0,20,4,0,11,3,12,7,27,18,28,10,30,26,21,25,62,29,19,13,15,15,1,16,17,5,5,17,0,0,,,,,,,
303,C.R.C. NO. 9,24091501101,SCHOOL NO.11,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,11,9,5,14,11,10,14,17,17,19,12,11,11,17,16,9,0,0,0,0,0,0,0,0,2,5,7,4,3,7,0,0,,,,,,,
304,C.R.C. NO. 9,24091501102,SCHOOL NO.28,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,10,12,3,6,7,6,3,6,9,11,3,3,10,5,16,5,0,0,0,0,0,0,0,0,0,5,5,2,3,5,0,0,,,,,,,
305,C.R.C. NO. 9,24091501103,SCHOOL NO.57,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,17,11,16,14,9,21,15,19,17,17,23,20,11,22,16,24,0,0,0,0,0,0,0,0,1,8,9,5,4,9,0,0,,,,,,,
306,C.R.C. NO. 9,24091501105,SHREE LALBHADUR SASTRI PRI.SCH,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,25,17,20,23,21,15,29,19,32,18,27,11,42,10,54,11,0,0,0,0,0,0,0,0,2,10,12,10,2,12,0,0,,,,,,,
307,C.R.C. NO. 9,24091501106,RAJKUMAR COLLEGE,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,93,55,99,30,98,64,106,56,114,57,110,63,110,50,120,56,100,59,105,56,65,40,59,37,46,87,133,133,0,133,0,0,,,,,,,
308,C.R.C. NO. 9,24091501107,SADAGURU PRI. VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,24,18,34,21,29,17,29,26,25,22,25,17,31,26,34,39,0,0,0,0,0,0,0,0,1,8,9,6,3,9,0,0,,,,,,,
309,C.R.C. NO. 9,24091501108,SHREE P V MODI PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,9,38,20,34,18,31,11,36,15,26,12,35,16,35,12,0,0,0,0,0,0,0,0,5,19,24,15,9,0,24,0,,,,,,,
310,C.R.C. NO. 9,24091501109,P V MODI PRI. SCHOOL ENG.,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,26,17,47,22,61,36,61,34,44,20,10,7,30,18,42,27,0,0,0,0,0,0,0,0,2,22,24,15,9,0,24,0,,,,,,,
311,C.R.C. NO. 9,24091501110,R H KOTAK SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,39,41,25,42,35,54,36,59,42,62,34,58,38,93,55,112,0,0,0,0,0,0,0,0,1,16,17,9,8,17,0,0,,,,,,,
312,C.R.C. NO. 9,24091501112,JAGATGURU PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,19,10,8,20,25,14,23,15,19,7,32,8,30,11,39,7,0,0,0,0,0,0,0,0,2,6,8,4,4,7,0,1,,,,,,,
313,C.R.C. NO. 9,24091501114,KUMAR MANDIR,Pvt. Aided                                                                 ,Upper Primary only                                                         ,0,0,0,0,0,0,0,0,0,0,3,6,10,13,8,8,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,,,,,,,
314,C.R.C. NO. 9,24091501115,SENTULSI SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,11,9,6,3,5,7,4,4,9,8,11,5,10,4,15,6,0,0,0,0,0,0,0,0,1,11,12,8,4,5,7,0,,,,,,,
315,C.R.C. NO. 9,24091501116,REENA PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,6,8,5,5,6,8,9,5,11,1,11,7,14,6,15,2,0,0,0,0,0,0,0,0,1,9,10,5,5,2,8,0,,,,,,,
316,C.R.C. NO. 9,24091501117,LATE SHREE S.G. DHOLAKIYA PR. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,38,17,32,25,47,26,66,34,50,35,61,38,87,38,84,48,0,0,0,0,0,0,0,0,0,6,6,4,2,6,0,0,,,,,,,
317,C.R.C. NO. 9,24091501118,SUNSHINE PR.SCHOOL,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,30,13,11,12,17,9,19,8,11,6,27,7,21,10,19,9,21,7,18,5,3,0,1,0,5,11,16,7,3,15,0,1,,,,,,,
318,C.R.C. NO. 20,24091501119,VIRANI PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,19,7,10,3,8,2,11,4,14,3,13,0,9,0,35,2,0,0,0,0,0,0,0,0,1,15,16,10,6,16,0,0,,,,,,,
319,C.R.C. NO. 9,24091501121,P.B.KOTAK PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,49,68,46,60,59,69,38,63,36,51,49,54,33,57,16,65,0,0,0,0,0,0,0,0,1,6,7,2,5,7,0,0,,,,,,,
320,C.R.C. NO. 9,24091501122,KUMAR MANDIR NON GRANTED,Pvt. Unaided                                                               ,Primary                                                                    ,21,9,3,5,9,4,10,8,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,0,6,0,0,,,,,,,
321,C.R.C. NO. 9,24091501123,SHRI RAMESHBHAI M CHHAYA KANYA VIDY,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,159,0,136,0,96,5,13,18,0,0,18,0,0,,,,,,,
322,C.R.C. NO. 9,24091501124,SHRI VIRANI VIVIDHLAKSHIVIDYAMANDIR,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,34,0,43,0,14,0,2,8,10,0,0,5,5,0,,,,,,,
323,C.R.C. NO. 9,24091501125,SHRI LALBHADUR SHASTRI VIDYALAYBOYS,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,217,0,374,26,233,25,14,14,28,0,0,27,1,0,,,,,,,
324,C.R.C. NO. 9,24091501126,SMT. R H AND V T KOTAK KANYA VINAYMANDIR,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,157,0,307,0,189,13,11,24,0,0,24,0,0,,,,,,,
325,C.R.C. NO. 9,24091501127,REENA SECONDARY SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,11,4,25,30,4,8,5,14,19,0,0,0,19,0,,,,,,,
326,C.R.C. NO. 9,24091501128,G.T. HIGH SCHOOLFOR GIRLS,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,96,0,125,0,85,3,9,12,0,0,12,0,0,,,,,,,
327,C.R.C. NO. 9,24091501129,SHRI S.V. VIRANI M.P. HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,309,0,227,0,203,0,25,3,28,0,0,28,0,0,,,,,,,
328,C.R.C. NO. 9,24091501130,SHANTVAN SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,22,177,36,6,3,9,0,0,0,9,0,,,,,,,
329,C.R.C. NO. 9,24091501131,SHRI JAGADGURU MADHYAMIK VIDYALAYA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,54,0,80,0,20,0,2,6,8,0,0,7,1,0,,,,,,,
330,C.R.C. NO. 9,24091501132,KOTAK SECONDARY-HIGHER SEC. SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11,34,4,0,0,0,0,0,2,2,0,0,2,0,0,,,,,,,
331,C.R.C. NO. 9,24091501133,P.B. KOTAK MEMORIAL ENG.HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,83,0,0,0,0,0,3,3,0,0,3,0,0,,,,,,,
332,C.R.C. NO. 9,24091501134,SHREE RAMESHBHAI M CHHAYA BOYS H.S.,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,171,0,78,0,50,0,6,7,13,0,0,13,0,0,,,,,,,
333,C.R.C. NO. 9,24091501135,LAL BAHADUR SHASTRI KANYA VIDYALAY ,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,142,0,138,0,99,7,9,16,0,0,16,0,0,,,,,,,
334,C.R.C. NO. 9,24091501137,ST TULSI HIGHER SECONDARY SCHOOL,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,36,0,51,3,34,9,5,3,8,0,0,8,0,0,,,,,,,
335,C.R.C. NO. 9,24091501138,ST TULSI SECONDARY SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,2,0,0,0,0,0,3,3,0,0,2,1,0,,,,,,,
336,C.R.C. NO. 9,24091501139,SUNSHINE SCHOOL (GUJ. MED.),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,7,3,7,6,15,7,6,0,5,0,4,1,1,2,2,1,0,0,0,0,0,0,0,0,1,11,12,6,6,8,4,0,,,,,,,
337,C.R.C. NO. 9,24091501140,MOTHER MEERA ENGLISH SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,6,6,3,2,3,1,4,1,0,0,0,0,9,0,1,2,0,0,0,0,0,0,0,0,0,5,5,2,3,0,5,0,,,,,,,
338,C.R.C. NO. 9,24091501141,MAHARANI LAXMIBAI KANYA VIDHYALAY,Local body                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,54,0,63,0,42,4,3,7,0,0,7,0,0,,,,,,,
339,C.R.C. NO. 9,24091501142,SANT TULSI U. M. SHALA (GUJ. MED.),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,1,1,1,2,0,0,0,2,0,,,,,,,
340,C.R.C. NO. 9,24091501143,SAMARTH SCIENCE SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,1,7,0,0,7,0,0,,,,,,,
341,C.R.C. NO. 9,24091501144,SHREE P. V. MODI HIGH SCHOOL (SCI.GUJ),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,111,244,136,10,13,23,0,0,0,23,0,,,,,,,
342,C.R.C. NO. 9,24091501145,SHREE P. V. MODI HIGH SCHOOL (SCI.ENG.),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,75,123,63,7,7,14,0,0,0,14,0,,,,,,,
343,C.R.C. NO. 9,24091501146,LATE SHREE S.G.DHOLAKIYA MEMO. HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,59,113,68,267,124,235,117,21,14,35,0,0,35,0,0,,,,,,,
344,C.R.C. NO. 9,24091501147,P.B. KOTAK MEMORIAL ENG.(H.S.) SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,44,0,1,1,0,0,0,1,0,,,,,,,
345,C.R.C. NO. 9,24091501148,VIRANI'S PRIMARY ENG.MED.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,16,3,11,8,2,5,6,7,2,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,0,0,18,0,,,,,,,
346,C.R.C. NO. 9,24091501150,KOTAK SECONDARY-HIGHER SEC. SCHOOL,Pvt. Aided                                                                 ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,13,18,0,3,3,0,0,3,0,0,,,,,,,
347,C.R.C. NO. 9,24091501151,SHREE JASANI ENG.MED. PRI.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,27,19,33,28,29,24,22,23,33,13,20,8,24,13,16,16,0,0,0,0,0,0,0,0,0,5,5,3,2,5,0,0,,,,,,,
348,C.R.C. NO. 9,24091501152,SHREE LALBAHADUR SHASTRI ENG. PRIMARY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,57,51,60,51,79,48,40,19,47,26,74,44,43,36,54,30,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,,,,,,,
349,C.R.C. NO. 9,24091501153,SHRI P. & B. PRI. SCH. (ENG. MED.),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,4,1,2,2,3,1,5,2,7,5,0,3,4,2,3,2,0,0,0,0,0,0,0,0,2,4,6,3,3,0,6,0,,,,,,,
350,C.R.C. NO. 9,24091501154,TIME SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,0,0,3,1,4,0,0,0,4,0,,,,,,,
351,C.R.C. NO. 9,24091501155,SHREE VINAYMANDIR MADHYAMIK SHALA,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,3,0,3,0,0,0,3,0,,,,,,,
352,C.R.C. NO. 9,24091501156,ACADEMIC HEIGHTS PUBLIC SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,27,18,28,11,9,16,14,6,5,0,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,8,0,0,,,,,,,
353,C.R.C. NO. 9,24091501157,REENA ENGLISH MEDIUM SCHOOL,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,1,2,1,1,2,0,5,0,2,1,1,0,1,0,1,0,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
354,C.R.C. NO. 10,24091501201,SCHOOL NO. 64,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,15,20,13,16,15,13,10,7,10,13,7,12,5,6,11,10,0,0,0,0,0,0,0,0,1,7,8,5,3,8,0,0,,,,,,,
355,C.R.C. NO. 12,24091501205,MASOOM PRI. SCHOOL(UNIT-1),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,44,31,69,53,62,66,77,56,71,46,60,45,45,33,34,23,0,0,0,0,0,0,0,0,3,23,26,10,16,0,26,0,,,,,,,
356,C.R.C. NO. 12,24091501206,MASOOM  PRI. SCHOOL(UNIT-2),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,49,31,69,48,62,55,67,67,50,42,40,49,41,32,25,20,0,0,0,0,0,0,0,0,2,25,27,11,16,0,27,0,,,,,,,
357,C.R.C. NO. 12,24091501207,ROSARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,36,24,37,28,37,22,46,39,43,30,50,36,39,30,28,19,0,0,0,0,0,0,0,0,0,15,15,5,10,15,0,0,,,,,,,
358,C.R.C. NO. 12,24091501208,ROSARY ENG. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,37,14,25,19,27,22,27,19,22,18,28,20,29,16,17,11,0,0,0,0,0,0,0,0,1,8,9,5,4,9,0,0,,,,,,,
359,C.R.C. NO. 12,24091501209,ST MARRY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,106,75,119,62,95,75,116,67,114,65,134,32,120,53,113,68,0,0,0,0,0,0,0,0,5,22,27,12,15,27,0,0,,,,,,,
