s.no,crc_no,dise_code,school_name,mgmt,school_level,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchregu,tchcont,tchpart,std,phone_1,mobile_1,phone_2,mobile_2,email,website
145,C.R.C. NO. 23,24091500601,SCHOOL NO. 49B,Municipal School Board(MSB)                                                ,Primary                                                                    ,32,32,24,21,23,23,13,18,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,0,5,0,0,,,9426960028,,9426960028,,
146,C.R.C. NO. 22,24091500602,SCHOOL NO.52,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,10,15,10,16,11,12,16,19,16,25,26,26,24,25,46,30,0,0,0,0,0,0,0,0,2,10,12,6,6,12,0,0,,,9824451675,,9428285489,,
147,C.R.C. NO. 6,24091500605,SARASWATI PRI.VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,16,37,17,28,10,29,15,30,17,28,14,31,8,37,7,37,0,0,0,0,0,0,0,0,1,9,10,5,5,10,0,0,281,2442561,9429567102,,,rdeossmrkt@gmail.com,
148,C.R.C. NO. 5,24091500607,SRI  SANT GYANESHWAR VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,31,25,35,28,37,19,32,26,36,24,39,25,37,24,41,19,0,0,0,0,0,0,0,0,3,9,12,6,6,2,10,0,281,2702882,9825110751,,,mhpatelhighschool@gmail.com,
149,C.R.C. NO. 5,24091500608,RAVI VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,36,22,25,29,38,19,32,23,35,24,38,28,38,24,41,19,0,0,0,0,0,0,0,0,3,9,12,6,6,2,10,0,281,2702882,,,,mhpatelhighschool@gmail.com,
150,C.R.C. NO. 6,24091500609,SHREE JAY HIND VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,32,27,15,21,26,12,25,15,20,22,17,15,22,13,2,12,0,0,0,0,0,0,0,0,4,4,8,5,3,6,2,0,281,2707575,9426438642,,,jayhindvidh@gmail.com,
151,C.R.C. NO. 6,24091500612,MAZHAR VIDHAYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,17,0,29,0,27,0,37,0,46,0,37,0,55,0,65,0,0,0,0,0,0,0,0,0,8,8,6,2,7,1,0,281,2707535,9427078634,,,,
152,C.R.C. NO. 6,24091500613,SHEYASH VIDHAYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,4,10,5,7,5,15,7,9,13,7,7,8,5,10,2,0,0,0,0,0,0,0,0,0,10,10,9,1,10,0,0,281,2475482,9712829584,,,,
153,C.R.C. NO. 6,24091500614,JAY HIND VIDHIYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,29,28,31,25,29,29,29,31,35,25,36,19,27,14,27,9,0,0,0,0,0,0,0,0,5,4,9,5,4,9,0,0,281,2703303,9979605301,,,jayhindschool107@gmail.com,
154,C.R.C. NO. 6,24091500616,VUNDAVAN VIDHIYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,4,1,5,0,0,0,0,9998862522,,,,
155,C.R.C. NO. 7,24091500617,TAGORE VIDYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,28,10,19,18,20,13,31,23,21,19,31,20,32,24,39,20,0,0,0,0,0,0,0,0,2,8,10,5,5,2,8,0,281,,8511832214,,,niravthumar81@gmail.com,
156,C.R.C. NO. 6,24091500619,NALANDA PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,33,31,29,28,37,19,34,28,34,23,35,26,43,17,36,24,0,0,0,0,0,0,0,0,0,9,9,5,4,2,7,0,281,2454436,,,,,
157,C.R.C. NO. 6,24091500620,APNI SHALA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,11,12,8,10,10,14,12,12,11,11,10,11,11,12,11,0,0,0,0,0,0,0,0,2,6,8,4,4,8,0,0,,,9428349219,,,,
158,C.R.C. NO. 6,24091500621,MEHUL PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,32,27,39,20,29,25,27,25,31,21,39,13,31,20,32,19,0,0,0,0,0,0,0,0,1,8,9,5,4,2,7,0,281,2702550,,,,,
159,C.R.C. NO. 6,24091500625,PANCHSHIL VIDYALAY,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,46,39,44,20,39,30,48,29,40,38,58,22,60,22,51,15,78,41,43,32,23,7,20,10,8,28,36,12,12,34,2,0,281,2705212,9227590336,2705212,9904262472,panchshilschool@gmail.com,
160,C.R.C. NO. 6,24091500627,PARTH VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,10,11,8,3,8,8,5,13,10,9,12,10,3,4,4,0,0,0,0,0,0,0,0,4,3,7,3,4,2,5,0,,,9904886399,,9428285168,parthvidyalaya.rjt@gmail.com,
161,C.R.C. NO. 6,24091500631,VINAYAK VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,14,8,9,6,7,6,7,1,5,3,7,3,8,4,1,3,0,0,0,0,0,0,0,0,5,3,8,4,4,2,6,0,,,9924527171,,9979102200,shrivinayakvidyamandir@gmail.com,
162,C.R.C. NO. 6,24091500633,PARAMHANSH PR.SCHOOL,Pvt. Unaided                                                               ,Primary                                                                    ,9,9,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,,,9374160542,,,vinayak550@ymail.com,
163,C.R.C. NO. 6,24091500634,GHANSARITA PR.SCHOOL,Govt. Aided (Pvt.)                                                         ,Primary with Upper Primary                                                 ,10,6,1,2,4,4,6,6,5,5,5,5,9,8,9,6,0,0,0,0,0,0,0,0,0,4,4,2,2,4,0,0,281,2585861,9825236375,,9428251282,,
164,C.R.C. NO. 6,24091500635,SARDAMANI VIDYALAYA,Govt. Aided (Pvt.)                                                         ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,33,48,34,0,0,0,0,3,2,5,0,0,5,0,0,281,2457201,9428462063,,9428462063,shardamanividyalaya@gmail.com,
165,C.R.C. NO. 6,24091500636,BABY WORLD ENG. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,4,7,2,3,3,9,4,8,3,4,1,2,2,2,2,0,0,0,0,0,0,0,0,0,6,6,3,3,2,4,0,281,6531741,,6547341,,,
166,C.R.C. NO. 6,24091500637,NAVODIT VIDHYALAYA,Govt. Aided (Pvt.)                                                         ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,28,37,23,0,0,0,0,4,0,4,0,0,4,0,0,281,2452627,9428252638,,9638205638,navoditvidhyalaya2012@gmail.com,
167,C.R.C. NO. 6,24091500639,BHARTIYA VIDHYALAYA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,31,10,9,4,18,7,6,2,8,0,0,2,6,0,281,6531741,,6547341,,,
168,C.R.C. NO. 6,24091500640,SHRI SAIBABA VIDHYA MANDIR,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,10,5,0,0,0,0,2,3,5,0,0,5,0,0,,,9428349219,,,,
169,C.R.C. NO. 5,24091500641,SRI M. H. PATEL HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,74,121,59,53,44,43,43,6,5,11,0,0,2,9,0,281,2701260,9825110751,,,mhpatelhighschool@gmail.com,
170,C.R.C. NO. 7,24091500642,SHRI ADARSH U. M. KANYA SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,59,1,3,4,0,0,2,2,0,281,2706822,9824825026,,9924323253,adarshschool1984@gmail.com,
171,C.R.C. NO. 6,24091500643,SHRI ADARSH MADHYAMIK SCHOOL,Govt. Aided (Pvt.)                                                         ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,96,0,0,0,0,2,2,4,0,0,4,0,0,281,2706822,,,9426974001,adarshschool1984@gmail.com,
172,C.R.C. NO. 6,24091500644,SARASWATI U. M. KANYA VIDHYA MANDIR,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,55,3,1,4,0,0,1,3,0,281,2442561,9429567103,,,rdeosmkvm@gmail.com,
173,C.R.C. NO. 6,24091500645,SUNRISE ENGLISH SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,36,34,38,21,29,16,18,13,28,15,17,11,19,12,8,5,0,0,0,0,0,0,0,0,0,14,14,8,6,11,3,0,281,2475482,9727101272,,,,
174,C.R.C. NO. 6,24091500646,GAYATRI VIDHYAMANDIR - RAJKOT,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,11,0,13,0,15,0,16,0,25,0,28,0,33,0,22,0,0,0,0,0,0,0,0,0,1,6,7,3,4,7,0,0,281,2457201,9428462063,,,gayatrividyamandir13@gmail.com,
175,C.R.C. NO. 6,24091500647,BHARTIYA PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,6,21,0,24,4,22,5,14,9,10,8,12,13,11,5,12,0,0,0,0,0,0,0,0,0,6,6,3,3,2,4,0,281,6531741,,6547341,,,
176,C.R.C. NO. 6,24091500648,BHARTIYA VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,22,0,28,0,25,0,21,0,23,0,28,0,26,0,25,0,0,0,0,0,0,0,0,0,0,6,6,3,3,2,4,0,281,6531741,,6547341,,,
177,C.R.C. NO. 6,24091500649,SHRI ASHAPURA VIDHYA MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,26,13,15,11,16,15,16,13,17,11,26,11,21,18,25,9,0,0,0,0,0,0,0,0,0,8,8,4,4,8,0,0,,,9427720249,,,,
178,C.R.C. NO. 6,24091500650,KRISHNA ENGLISH MEDIUM SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,5,5,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,3,5,0,0,281,6541107,9979605301,,,jayhindschool207@gmail.com,
179,C.R.C. NO. 7,24091500651,SHRI VIVEKANAND VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,1,0,2,1,2,3,5,2,1,2,5,2,12,0,0,0,0,0,0,0,0,2,3,5,2,3,2,3,0,281,2706822,9824825026,,,adarshschool1984@gmail.com,
180,C.R.C. NO. 6,24091500652,SHRI MEHUL VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,38,21,38,21,29,26,28,23,31,21,39,16,29,23,27,26,0,0,0,0,0,0,0,0,2,7,9,4,5,2,7,0,281,2702550,,,,,
181,C.R.C. NO. 6,24091500653,MANGAL MURTI VIDHYA MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,8,17,7,18,6,18,9,15,6,17,7,15,13,6,6,0,0,0,0,0,0,0,0,2,6,8,4,4,2,6,0,,,9426964612,,,,
182,C.R.C. NO. 6,24091500654,SHRI SANSKAR VIDHYA MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,6,7,12,5,10,8,15,16,10,15,12,8,12,9,14,9,0,0,0,0,0,0,0,0,5,3,8,4,4,8,0,0,,,9979470068,,,,
183,C.R.C. NO. 6,24091500655,SHRI GEETANJALI VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,14,8,7,13,7,7,10,10,11,4,5,5,10,9,6,3,0,0,0,0,0,0,0,0,2,5,7,5,2,2,5,0,,,9904700590,,,,
184,C.R.C. NO. 6,24091500656,SARASWATI MADHYAMIK KANYA VIDHYA MANDIR,Govt. Aided (Pvt.)                                                         ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,11,0,0,0,0,3,2,5,0,0,5,0,0,281,2384435,9429567103,,,rdeosmkvm@gmail.com,
185,C.R.C. NO. 6,24091500657,MAZHAR KANYA VIDHYALAYA (SECONDARY),Govt. Aided (Pvt.)                                                         ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,165,0,131,0,140,10,5,15,0,0,15,0,0,281,2707535,9427213515,,,mazharkanya@gmail.com,
186,C.R.C. NO. 6,24091500658,SHRI BHUSHAN SEC. AND H. S. SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,104,166,90,80,49,66,42,11,0,11,0,0,3,8,0,281,2478900,,,,,
187,C.R.C. NO. 6,24091500659,SHRI BHUSHAN H. S. SCHOOL (COMMERCE),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,100,140,86,5,1,6,0,0,1,5,0,281,2490601,,,,,
188,C.R.C. NO. 6,24091500660,BHOOMIKA VIDHIYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,23,18,13,9,21,17,22,14,23,11,30,10,19,13,19,14,0,0,0,0,0,0,0,0,3,6,9,5,4,2,7,0,281,6590054,9427720722,,,littlestarrajkot@yahoo.com,
189,C.R.C. NO. 6,24091500661,LITTLE STAR ENGLISH SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,23,16,31,11,25,16,17,7,21,6,22,14,23,7,12,6,0,0,0,0,0,0,0,0,3,7,10,5,5,6,4,0,281,6590054,9427727022,,,littlestarrajkot@yahoo.com,
190,C.R.C. NO. 6,24091500662, ILMALAY PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,11,1,16,0,13,0,33,0,25,0,28,0,28,0,35,0,0,0,0,0,0,0,0,0,5,2,7,4,3,2,5,0,281,2701122,9427167536,,,eelmalayprimaryschool@gmail.com,
191,C.R.C. NO. 5,24091500663,SRI  YOGESHWAR VIDYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,33,26,28,27,36,20,34,26,36,24,41,24,37,24,43,16,0,0,0,0,0,0,0,0,2,10,12,6,6,2,10,0,281,2701260,9825110751,,,mhpatelhighschool@gmail.com,
192,C.R.C. NO. 6,24091500664,SAIFY HIGH SCHOOL,Govt. Aided (Pvt.)                                                         ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,22,124,12,54,7,47,7,9,1,10,0,0,10,0,0,281,2701229,9898994593,,,saifeehighschool@gmail.com,
193,C.R.C. NO. 7,24091500665,RAJKUMAR VIDHAYALAY(SEC.& H.SEC.),Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,65,84,55,14,0,16,0,8,3,11,0,0,2,9,0,281,2701897,9924576992,,,mms.sankul@gmail.com,
194,C.R.C. NO. 6,24091500666,NAVODIT HIGHER SEC. SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,33,18,2,1,3,0,0,3,0,0,281,2452629,9428252638,,,navoditvidhyalaya2012@gmail.com,
195,C.R.C. NO. 6,24091500667, PARIMAL VIDHYAVIHAR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,41,26,30,36,33,29,37,33,35,31,35,31,32,29,33,24,0,0,0,0,0,0,0,0,1,9,10,5,5,2,8,0,281,2490601,9974650060,,,,
196,C.R.C. NO. 6,24091500668,ASHAPURA VIDHYA MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,1,0,3,4,1,1,6,1,1,0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,4,2,6,5,1,2,4,0,281,6548380,9825229838,,,,
197,C.R.C. NO. 6,24091500669,SAINT MIRA MEDIUM ENGLISH,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,49,31,39,35,27,26,31,26,15,11,22,11,9,5,4,4,0,0,0,0,0,0,0,0,1,11,12,7,5,12,0,0,281,2471554,9824490291,,,abhinavpalanpura9@gmail.com,
198,C.R.C. NO. 6,24091500670,Masum Vidhyalaya,Govt. Aided (Pvt.)                                                         ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,58,287,75,288,72,261,56,46,15,61,0,0,61,0,0,281,2703324,,,,shaileshbhai_vora@yahoo.com,
199,C.R.C. NO. 6,24091500671,BLOSSOM KINDER-GARTEN & PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,12,24,20,20,10,21,13,17,12,10,10,18,8,15,6,0,0,0,0,0,0,0,0,1,9,10,5,5,10,0,0,281,6560354,9327971065,,,blossomkgprischool@gmail.com,
200,C.R.C. NO. 6,24091500672,POLE STAR PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,32,11,28,19,21,14,10,22,20,12,11,10,11,9,8,0,0,0,0,0,0,0,0,0,0,8,8,5,3,2,6,0,281,2454436,,,,,
201,C.R.C. NO. 6,24091500673,SHREE RAMKRUSHNA PRATHMIK SHALA,Pvt. Unaided                                                               ,Primary                                                                    ,12,3,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,1,0,281,2703303,9979605301,,,,
202,C.R.C. NO. 6,24091500675,SHREE MODERN VIDYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,3,2,2,2,5,5,3,4,0,3,4,4,3,3,1,1,0,0,0,0,0,0,0,0,0,6,6,3,3,4,2,0,281,2471554,9824490291,,,,
203,C.R.C. NO. 6,24091500676,NEW FLORA ENGLISH MEDIUM SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,31,16,7,8,13,9,11,4,8,3,5,0,3,3,4,0,0,0,0,0,0,0,0,0,1,7,8,4,4,2,6,0,281,2701288,9909910083,,,floraenglishmediunschool@gmail.com,
204,C.R.C. NO. 6,24091500677,SHREE M P VASANI FORWARD SECHSEC SCHOOL ,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,281,,,,,,
205,C.R.C. NO. 20,24091500701,SCHOOL NO.69,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,15,13,10,11,10,19,11,18,7,19,12,18,14,26,16,20,0,0,0,0,0,0,0,0,1,8,9,5,4,9,0,0,,,7624014015,,8156080191,,
206,C.R.C. NO. 14,24091500703,SCHOOL NO.35,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,8,12,11,10,15,10,20,8,13,18,7,9,5,12,0,0,0,0,0,0,0,0,0,0,3,3,6,4,2,6,0,0,281,,,,9825078000,rajkotmsbht35@gmail.com,
207,C.R.C. NO. 19,24091500704,SCHOOL NO.20 B,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,9,8,10,11,7,8,23,13,9,12,7,13,10,8,0,0,0,0,0,0,0,0,0,0,1,6,7,6,1,7,0,0,281,2377566,9879995998,,9426786081,,
208,C.R.C. NO. 20,24091500705,SCHOOL NO.88 A,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,37,37,26,32,21,31,23,33,21,20,34,19,34,34,35,42,0,0,0,0,0,0,0,0,8,7,15,8,7,15,0,0,281,2311057,9824220097,,9428700484,schoolno88a@gmail.com,
209,C.R.C. NO. 7,24091500711,SARDAR SHREE VALLABHBHAI PATEL,Govt. Aided (Pvt.)                                                         ,Primary with Upper Primary                                                 ,12,10,18,13,14,16,12,10,19,6,21,13,27,10,31,11,0,0,0,0,0,0,0,0,1,6,7,4,3,7,0,0,,,9428038215,,9428465481,,
210,C.R.C. NO. 7,24091500716,SARDAMANI VIDYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,15,0,12,0,10,0,18,0,26,0,19,0,27,0,26,0,0,0,0,0,0,0,0,2,5,7,5,2,7,0,0,281,2701921,9429500062,,,shardamanividyamandir@gmail.com,
211,C.R.C. NO. 7,24091500717,SHREE CHANAKIYA VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,3,4,4,3,10,6,9,4,16,8,7,12,16,11,13,17,0,0,0,0,0,0,0,0,1,7,8,4,4,8,0,0,281,2707115,9428233126,,,,
212,C.R.C. NO. 7,24091500718,SHREE SARDAMANDIR VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,281,0,9824485084,,,,
213,C.R.C. NO. 7,24091500720,MOTHERLAND SHAIKSHANIK SANKUL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,54,32,43,24,38,33,38,31,52,26,30,47,55,22,44,24,0,0,0,0,0,0,0,0,9,10,19,7,12,2,17,0,281,2701897,9924576992,,,mms.sankul@gmail.com,
214,C.R.C. NO. 7,24091500721,SHREE SARASWATI VIDYALAY-RAJKOT,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,20,4,15,0,24,0,23,0,25,0,32,0,28,0,20,0,0,0,0,0,0,0,0,0,2,6,8,5,3,2,6,0,281,2702146,9879013939,,,,
215,C.R.C. NO. 7,24091500722,SHREE PRATIK VIDHYA MANDIR / PRATIK SCHOOL,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,36,29,37,32,24,25,25,23,26,19,28,21,22,19,16,12,18,9,11,9,0,0,11,9,3,5,8,3,2,8,0,0,281,2702600,9898555970,,,pratikschoolrajkot3@gmail.com,
216,C.R.C. NO. 7,24091500723,SHREE P  B PATEL VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,40,20,34,18,20,13,18,29,41,21,39,18,41,17,40,15,0,0,0,0,0,0,0,0,4,5,9,5,4,9,0,0,,,9426905568,,9723492323,pbpateledu@gmail.com,
217,C.R.C. NO. 4,24091500724,SHREE VIKAS PRA. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,4,0,1,0,3,0,8,0,6,0,8,0,5,0,4,0,0,0,0,0,0,0,0,0,0,8,8,5,3,2,6,0,281,2701639,9427729744,,,,
218,C.R.C. NO. 7,24091500725,JAWAHAR VIDHYALAYA BEDIPARA,Govt. Aided (Pvt.)                                                         ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,25,98,15,0,0,0,0,3,2,5,0,0,5,0,0,281,2706305,9824810115,,,javaharvidhyalay@gmail.com,
219,C.R.C. NO. 7,24091500726,SHRI SHARDA MANDIR VIDHYALAYA,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,9824485084,,,,
220,C.R.C. NO. 7,24091500727,NACHIKETA VIDHYALAYA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,21,29,14,17,7,23,8,7,1,8,0,0,2,6,0,281,2702146,9879013939,,,,
221,C.R.C. NO. 7,24091500728,SHRI MURLIDHAR VIDHYALAYA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,34,0,0,0,0,0,7,1,8,0,0,5,3,0,281,2701148,9925024602,,,murlidharvidyalaya123@gmail.com,
222,C.R.C. NO. 7,24091500729,MARUTI MOTHERLAND HIGH SCHOOL,Govt. Aided (Pvt.)                                                         ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,20,18,0,0,0,0,2,1,3,0,0,3,0,0,281,2701897,9879481878,,9978103560,mms.sankul@gmail.com,
223,C.R.C. NO. 7,24091500730,SARDAR SHRI VALLABHBHAI PATEL VIDYALAY,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,45,0,0,0,0,0,2,1,3,0,0,3,0,0,281,2701746,9998943057,,,svpvidhyalay1@gmail.com,
224,C.R.C. NO. 7,24091500731,SHREE BANSHIDHAR GIRLS SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,9,0,0,0,0,6,2,8,0,0,5,3,0,281,2701148,9925024602,,,murlidharvidyalay123@gmail.com,
225,C.R.C. NO. 7,24091500732,B. K. ENGLISH SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,43,39,38,27,38,29,30,24,10,14,10,3,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,7,3,2,8,0,0,,9825724496,,,bkschoolrajkot@gmail.com,
226,C.R.C. NO. 7,24091500733,SHRI SHIV SHAKTI VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,9,11,12,12,9,17,7,13,18,12,10,16,8,16,7,0,0,0,0,0,0,0,0,2,6,8,5,3,8,0,0,,,9726242800,,9712283056,,
227,C.R.C. NO. 7,24091500734,SHRI MAHAVIR VINAY MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,4,9,12,8,11,4,8,10,11,6,10,9,13,14,5,9,0,0,0,0,0,0,0,0,1,4,5,2,3,5,0,0,281,2701854,9429167880,,,,
228,C.R.C. NO. 7,24091500735,SHRI SARASVATI PRATHMIK SHALA RAJKOT,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,4,13,3,22,0,19,0,20,0,27,0,20,0,24,0,23,0,0,0,0,0,0,0,0,2,6,8,5,3,2,6,0,281,2702146,9879013939,,,,
229,C.R.C. NO. 7,24091500736,SHRI MARUTI MOTHERLAND PRI SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,34,29,31,27,31,27,32,28,30,30,35,25,31,28,34,26,0,0,0,0,0,0,0,0,5,5,10,5,5,2,8,0,281,2701897,9924576992,,,mms.sankul@yahoo.com,
230,C.R.C. NO. 7,24091500737,MARUTI VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,50,35,40,30,42,26,47,21,48,32,39,39,44,33,44,23,0,0,0,0,0,0,0,0,9,11,20,7,13,2,18,0,281,2701897,9924576992,,,mms.sankul@yahoo.com,
231,C.R.C. NO. 7,24091500738,SHRI MURLIDHAR VIDHYALAY (PRIMARY),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,32,16,18,13,29,17,44,12,40,14,23,22,35,17,25,26,0,0,0,0,0,0,0,0,6,6,12,6,6,6,6,0,281,2701148,9925024602,,,murlidharvidyalaya123@gmail.com,
